@relation firstset
@attribute KDA_z[0] real
@attribute KDA_z[1] real
@attribute KDA_z[2] real
@attribute KDA_y[0] real
@attribute KDA_y[1] real
@attribute KDA_y[2] real
@attribute KDA_x[0] real
@attribute KDA_x[1] real
@attribute max_z_sample real
@attribute max_y_sample real
@attribute max_x_sample real
@attribute min_z_sample real
@attribute min_y_sample real
@attribute min_x_sample real
@attribute sum_z_sample real
@attribute sum_y_sample real
@attribute sum_x_sample real
@attribute abssum_z_sample real
@attribute abssum_y_sample real
@attribute abssum_x_sample real
@attribute std_z_sample real
@attribute std_y_sample real
@attribute std_x_sample real
@attribute var_z_sample real
@attribute var_y_sample real
@attribute var_x_sample real
@attribute euc_z_sample real
@attribute euc_y_sample real
@attribute euc_x_sample real
@attribute zcr_z_sample real
@attribute zcr_y_sample real
@attribute zcr_x_sample real
@attribute mean_z_sample real
@attribute mean_y_sample real
@attribute mean_x_sample real
@attribute absmean_z_sample real
@attribute absmean_y_sample real
@attribute absmean_x_sample real
@attribute mag_mean_sample real
@attribute mag_var_sample real
@attribute KDA_x[2] real
@attribute label {1,2,3,4}

@data
1, -92.927387985758, 89.73107173670297, -242.16041813185603, 446.17254099410593, -356.8112317278791, 1619.658708097686, 1034.9487694107763, 63.48192391238069, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, 0.0, 7.1e-322, 2.134e-321, 2.77e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.574468085106383, 0.0, 0.0, 0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 790.3724422478142, 178.6776620121443, -471.7463012428203, -276.5140672699502, -50.63271059584898, 1890.6643031048338, -37.544850428870504, -1907.070471538756, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, -5e-324, 7.1e-322, 2.134e-321, 2.9e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.6170212765957447, 0.0, 0.0, -0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, -661.6419001500059, -90.21258570015411, 111.62386433070931, -345.6179161455958, 649.104836995803, -794.6255804461618, 379.43113457094, 2258.354625538829, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, -5e-324, 7.1e-322, 2.134e-321, 2.8e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.5957446808510638, 0.0, 0.0, -0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 684.6922594949768, 860.2601020801596, 70.94528044206035, -272.25540853580554, 467.7991253555083, 144.8877286874831, -909.7426493993446, -392.23010962086653, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, 5e-324, 7.1e-322, 2.134e-321, 2.8e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.5957446808510638, 0.0, 0.0, 0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 395.48403738550155, -80.10228948584255, -427.9233584913238, 45.02184417126801, -580.3713679191974, 405.1289841813401, 1415.6386560521787, 148.8878044730218, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, 5e-324, 7.1e-322, 2.134e-321, 2.9e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.6170212765957447, 0.0, 0.0, 0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, -157.0268436272747, 528.1470939806075, 298.7070317010947, 362.3909370596799, 65.26500995038904, -142.3959260632721, -2256.192555141467, -128.18517395605602, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, 0.0, 7.1e-322, 2.134e-321, 2.77e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.574468085106383, 0.0, 0.0, 0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 375.1409763751885, -375.49969992357615, -292.05486485083304, 188.80593995174814, -745.5846854428612, 294.10269665259716, 1672.830574203782, 54.06625465358864, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, -5e-324, 7.1e-322, 2.134e-321, 2.9e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.6170212765957447, 0.0, 0.0, -0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 198.1082082619982, 1006.0301856259752, 144.2357369285134, 50.71197905621467, 137.82293374442912, -556.1590040490768, -2051.2181669789934, -960.4568012600931, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, -5e-324, 7.1e-322, 2.134e-321, 2.8e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.5957446808510638, 0.0, 0.0, -0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 613.7043393281407, -233.79662007435977, -290.26104854472186, -97.62050662463821, 279.57439938612197, 738.8882424868875, 96.40555922215823, -1796.7054432066623, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, 5e-324, 7.1e-322, 2.134e-321, 2.8e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.5957446808510638, 0.0, 0.0, 0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, -388.6654862712054, -823.8620734804558, 136.03990147567646, -75.94572554311203, -160.20706954253117, -563.9801844826856, 954.5442031015798, 166.272592096295, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, 5e-324, 7.1e-322, 2.134e-321, 2.9e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.6170212765957447, 0.0, 0.0, 0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 764.5237632025086, 38.055642056138275, -413.51861759733197, -131.04126018892248, 42.14106566924027, 1446.3098475308236, -41.061592972551864, -1445.2451729214047, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, 0.0, 7.1e-322, 2.134e-321, 2.77e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.574468085106383, 0.0, 0.0, 0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, -1222.184931569517, -510.47556027762715, 399.2634844547508, -313.75529549695386, 466.4791932856441, -744.8521820731648, 682.8208489873842, 2257.0181034489015, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, -5e-324, 7.1e-322, 2.134e-321, 2.9e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.6170212765957447, 0.0, 0.0, -0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 300.5038415537134, 1872.191278694386, 18.684386042245208, -140.64245755761334, 474.6908680250233, 87.94698253497268, -1864.1048302598588, -224.69731379514107, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, -5e-324, 7.1e-322, 2.134e-321, 2.8e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.5957446808510638, 0.0, 0.0, -0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, 1199.2512876137334, 1403.5074918326773, -99.12620706103549, -184.8572186746691, 306.86737343720995, 352.49976210128307, -1381.637517477192, -1804.3472107524526, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, 5e-324, 7.1e-322, 2.134e-321, 2.8e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.5957446808510638, 0.0, 0.0, 0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
1, -546.8211069401103, -144.22420923409186, 232.3229147296607, -104.13739610638734, -485.8755558412537, -146.80872739661203, -630.9468335200495, 168.11766153610984, 1.5e-323, 4.4e-323, 1e-323, -1.5e-323, -4.4e-323, -1e-323, 0.0, 0.0, 5e-324, 7.1e-322, 2.134e-321, 2.9e-322, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.6170212765957447, 0.0, 0.0, 0.0, 1.5e-323, 4.4e-323, 5e-324, 0.0, 0.0, 1
