@relation trainset
@attribute Z1 real
@attribute Y1 real
@attribute X1 real
@attribute Z2 real
@attribute Y2 real
@attribute X2 real
@data
-0.11785815, -1.14156519, -0.47148666, -0.54797259, -0.76707704, 1.04022731
-0.72639593, 0.12291581, 1.96535283, -0.3341898, 0.51669049, 1.01043627
0.41442064, -1.22610949, -0.30550835, -2.23220038, 0.21040221, -1.84476802
-0.31576024, -0.93508163, 0.63922268, 2.10793639, -0.92690249, -0.57669897
-0.90753779, 2.41826518, -0.45609847, 0.47238569, -0.80190819, 1.70185524
-0.01985166, 0.18982155, 1.71594256, 1.57230244, -0.95317855, -0.09150762
-1.28833928, -0.2013322, -1.50750967, 0.1627278, -0.33412729, 0.27561735
-0.75067378, 1.69175955, -0.63664221, -0.55796561, 2.3598495, -0.9922895
-0.10037083, -1.60465407, -0.55318107, -0.42152341, -2.30608918, 2.76483031
0.0702154, -1.15126948, 0.62714736, 0.48308985, -0.35036189, 0.03060037
-0.59553341, 0.81734278, 0.05065909, 1.00586151, -0.05667238, -0.29704384
1.44394544, -0.62798815, 0.73680154, -0.43009922, -1.21954201, 0.46311319
-0.81787144, 1.48336928, 0.19252911, -0.27973683, -0.74818511, 0.49623041
1.21484119, 0.28587196, 0.99561363, -1.00296471, -0.65443598, 0.43796246
-0.66675842, -0.47085188, 1.23057175, -0.70354989, -0.72940101, 0.67349461
-1.01429015, 1.59809519, 0.50379498, -0.13335632, 0.96406037, 0.33762738
-1.15548151, 0.08045793, -1.89041955, -1.22822844, 0.89073064, -1.14401815
1.04028424, 1.38782101, 1.62269399, -0.45371716, 2.62596683, -1.2704409
-0.09411665, -0.27051059, -0.1830296, 0.38750641, -0.90003106, -0.56227405
-0.04761635, 0.72691643, -0.1898199, 0.61169398, 0.38599598, -0.1845298
-0.03079188, -0.60996411, 0.16401401, -2.31934864, 0.30013883, 0.79905341
-0.09861612, -0.27813898, 0.21430451, 0.69062947, 0.37686344, -0.59804589
1.95554933, -0.67377581, 0.82434261, 1.0168394, 0.68527606, 0.10380821
0.40201449, -1.93178622, -0.07503349, 1.39342493, -1.65604015, -0.1426504
0.64181283, -1.81146185, 0.10679886, 1.298288, 0.85978267, -0.42042317
0.21984822, -1.56486097, -0.16080633, -0.56770107, 1.56422338, -1.73835677
-2.53201754, -0.01510795, 1.51230914, 0.79461028, -0.83177159, -0.86276168
-0.13851467, -0.46450848, -1.85614122, 0.72101196, -1.66983371, 0.23622541
1.17413901, -0.14012225, -0.64437225, 1.17036672, -0.67511915, 0.32492717
-2.7530683, -0.68465347, -0.56163179, -1.14578518, 1.0758818, 0.11784837
-0.38039466, 1.19765337, -0.55822064, 0.32822063, -0.34832936, -0.40801944
0.75999907, 0.60550872, -0.77013147, 0.29076137, 1.96972413, -0.83779265
-0.69357276, 0.78726147, 0.66160627, -0.82500532, -0.98497279, 0.7861683
-1.87775409, 1.12940622, 0.42152229, -0.52128136, -0.42519689, -0.61834768
-1.32371332, -0.46024314, -0.35024322, 1.32824212, -1.06227077, 0.19003961
-1.14104699, 2.44343249, -0.12856509, -1.26969906, -1.19030608, 0.15995434
1.04954623, 0.12606958, -1.19278716, -0.22620169, -0.98110389, -1.29388994
-0.83538081, -1.37871601, 0.80576992, -1.01467037, 0.2477567, -1.04318474
0.29578462, -1.88395758, -0.3233657, -0.10743974, -2.53929841, -1.55211397
