time,seconds_elapsed,z,y,x
1705063582575434200,0.046434326171875,-0.8399999737739563,1.135200023651123,2.3980000019073486
1705063582635432700,0.1064326171875,0.15609999001026154,0.02410000003874302,0.011699999682605267
1705063582695432700,0.1664326171875,0.07119999825954437,-0.014299999922513962,-0.03269999846816063
1705063582755432700,0.2264326171875,0.11719999462366104,-0.5525000095367432,0.4708999991416931
1705063582815432700,0.2864326171875,0.15479999780654907,-0.48829999566078186,0.350600004196167
1705063582875432700,0.3464326171875,0.0828000009059906,-0.4188999831676483,0.21849998831748962
1705063582935432700,0.4064326171875,0.09009999781847,-0.21639999747276306,0.1639999896287918
1705063582995432700,0.4664326171875,0.01759999990463257,-0.09479999542236328,0.007499999832361937
1705063583055432700,0.5264326171875,0.2597000002861023,-0.06619999557733536,0.043299999088048935
1705063583115432700,0.5864326171875,0.6845999956130981,-0.07019999623298645,0.4253000020980835
1705063583175432700,0.6464326171875,0.2768000066280365,-0.762999951839447,-0.07580000162124634
1705063583235432700,0.7064326171875,0.030299998819828033,0.059699997305870056,-0.4754999876022339
1705063583295432700,0.7664326171875,-1.0441999435424805,0.1939999908208847,-0.26980000734329224
1705063583355432700,0.8264326171875,0.062199998646974564,0.28859999775886536,-0.26260000467300415
1705063583415432700,0.8864326171875,0.06749999523162842,0.2944999933242798,-0.2848999798297882
1705063583475432700,0.9464326171875,-0.31679999828338623,0.5965999960899353,-1.0156999826431274
1705063583535432700,1.0064326171875,-0.03460000082850456,-0.3723999857902527,-1.9756999015808105
1705063583595432700,1.0664326171875,-0.16839998960494995,0.35989999771118164,-1.0949000120162964
1705063583655432700,1.1264326171875,-0.6601999998092651,0.17009998857975006,-1.8514999151229858
1705063583715432700,1.1864326171875,1.1452000141143799,0.11029999703168869,-1.5465999841690063
1705063583775432700,1.2464326171875,2.0732998847961426,-0.6534000039100647,-0.35929998755455017
1705063583835432700,1.3064326171875,1.3966999053955078,1.1984000205993652,0.6930999755859375
1705063583895432700,1.3664326171875,1.1929999589920044,4.440299987792969,-0.0023999998811632395
1705063583955432700,1.4264326171875,3.1830999851226807,1.9975999593734741,-1.2282999753952026
1705063584015432700,1.4864326171875,3.2170000076293945,1.3317999839782715,0.19689999520778656
1705063584075432700,1.5464326171875,2.837100028991699,-0.5845999717712402,0.14839999377727509
1705063584135432700,1.6064326171875,1.9179999828338623,-0.003700000001117587,0.20399999618530273
1705063584195432700,1.6664326171875,1.920699954032898,-0.5324999690055847,-1.490899920463562
1705063584255432700,1.7264326171875,1.2826999425888062,-0.9797999858856201,-2.0185999870300293
1705063584315432700,1.7864326171875,-0.31029999256134033,-1.2709999084472656,-0.314300000667572
1705063584375460900,1.8464609375,-0.12429999560117722,-1.2942999601364136,-0.5503000020980835
1705063584435432700,1.9064326171875,-0.34129998087882996,-1.4660999774932861,0.07699999958276749
1705063584495432700,1.9664326171875,-1.409999966621399,-1.3233000040054321,0.2214999943971634
1705063584555432700,2.0264326171875,-1.58489990234375,-1.379499912261963,0.3540000021457672
1705063584615432700,2.0864326171875,-1.430400013923645,-1.0190999507904053,0.2838999927043915
1705063584675432700,2.1464326171875,-1.5312999486923218,-1.37309992313385,0.5
1705063584735432700,2.2064326171875,-1.9199999570846558,-0.7795000076293945,0.2254999876022339
1705063584795432700,2.2664326171875,-1.111299991607666,-0.6335999965667725,-0.7368999719619751
1705063584855432700,2.3264326171875,-1.385599970817566,-0.6449999809265137,0.2791000008583069
1705063584915432700,2.3864326171875,-1.3284000158309937,-1.2288999557495117,-0.06469999998807907
1705063584975434200,2.446434326171875,-0.7838999629020691,-1.7989999055862427,0.023099999874830246
1705063585035432700,2.5064326171875,-0.2230999916791916,-0.44579997658729553,0.4796999990940094
1705063585095432700,2.5664326171875,-0.6882999539375305,-0.18539999425411224,1.0444999933242798
1705063585155432700,2.6264326171875,-0.058399997651576996,-0.3294999897480011,1.1557999849319458
1705063585215432700,2.6864326171875,0.9925999641418457,-0.19739998877048492,1.30239999294281
1705063585275432700,2.7464326171875,1.0061999559402466,-0.22989998757839203,1.073699951171875
1705063585335432700,2.8064326171875,-0.1906999945640564,-0.5618999600410461,0.8986999988555908
1705063585395432700,2.8664326171875,0.2854999899864197,-0.8534999489784241,0.6699999570846558
1705063585455432700,2.9264326171875,0.2930999994277954,0.20479999482631683,0.5946999788284302
1705063585515432700,2.9864326171875,-0.009099999442696571,-0.5322999954223633,-0.025100000202655792
1705063585575432700,3.0464326171875,-0.01640000008046627,-0.16929998993873596,-0.374099999666214
1705063585635432700,3.1064326171875,0.7005999684333801,-0.6480000019073486,0.37689998745918274
1705063585695432700,3.1664326171875,1.5652999877929688,-0.24549999833106995,0.28049999475479126
1705063585755432700,3.2264326171875,1.0770000219345093,-0.6286999583244324,-0.22379998862743378
1705063585815432700,3.2864326171875,-0.0071000000461936,-1.1561999320983887,-0.47029998898506165
1705063585875432700,3.3464326171875,0.06549999862909317,-0.7335999608039856,-2.1110999584198
1705063585935432700,3.4064326171875,-1.0530999898910522,-0.5295999646186829,-1.6058999300003052
1705063585995432700,3.4664326171875,-1.6775000095367432,-0.6832999587059021,-2.006700038909912
1705063586055432700,3.5264326171875,0.13779999315738678,0.0011999999405816197,-1.2774999141693115
1705063586115432700,3.5864326171875,1.5188000202178955,0.9103999733924866,-1.1553999185562134
1705063586175432700,3.6464326171875,0.6951999664306641,1.0749000310897827,-0.26749998331069946
1705063586235432700,3.7064326171875,0.24210000038146973,0.920199990272522,-0.1656000018119812
